word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name,domain_category,perception_object,target_description,perception_object_3_classes
spectacular,spectacular,1616,壮观震撼的（高空景观）,0. Direct NRC,Direct NRC Included (358 Words),Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
incredible,incredible,1612,难以置信震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,3. 总体观光体验极致赞赏 (Overall Tour Excellence & Appraisal)
scenic,scenic,400,风景优美的 / 宜人的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
awe,awe,304,敬畏 / 震撼,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
exceptional,exceptional,276,卓越的 / 杰出的（顶级评价）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
phenomenal,phenomenal,200,现象级震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,3. 总体观光体验极致赞赏 (Overall Tour Excellence & Appraisal)
majestic,majestic,165,雄伟的 / 壮丽的,0. Direct NRC,Direct NRC Included (358 Words),Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
surreal,surreal,98,超现实的 / 梦幻般的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
airsick,airsick,33,晕机的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Flight Motion & Somatic State (飞行体感与生理反应),2. 飞行体感与机舱躯体反应 (Aircraft Riding & Flight Motion),机舱颠簸感、晕机反应、密闭空间压抑焦虑,2. 机舱乘坐体感与生理反应 (Aircraft Motion & Physical Distress)
breathtakingly,breathtakingly,30,令人屏息震撼地（Awe/Amazement Emotion）,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
mesmerizing,mesmerizing,26,令人目眩神迷为之倾倒的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
claustrophobic,claustrophobic,16,感到幽闭恐惧压抑的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Flight Motion & Somatic State (飞行体感与生理反应),2. 飞行体感与机舱躯体反应 (Aircraft Riding & Flight Motion),机舱颠簸感、晕机反应、密闭空间压抑焦虑,2. 机舱乘坐体感与生理反应 (Aircraft Motion & Physical Distress)
awed,awed,15,感到为之肃然起敬震撼的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
stunningly,stunningly,10,令人震撼地,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
claustrophobia,claustrophobia,9,幽闭恐惧症（密闭机舱焦虑）,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Flight Motion & Somatic State (飞行体感与生理反应),2. 飞行体感与机舱躯体反应 (Aircraft Riding & Flight Motion),机舱颠簸感、晕机反应、密闭空间压抑焦虑,2. 机舱乘坐体感与生理反应 (Aircraft Motion & Physical Distress)
sublime,sublime,6,崇高壮丽绝美的（Aesthetic Emotion/Awe）,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,Aerial Visual Awe (高空视觉震撼),1. 高空自然景观与美学震撼 (Aerial Scenery & Visual Nature),俯瞰雪山峡谷、高空视觉奇观、极致壮观美感,1. 高空自然景观美学震撼 (Aerial Visual Scenery & Aesthetics)
