"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Niklas Z","https://www.tripadvisor.com/Profile/7niklasz","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg","","5","","Again and again!","Are slightly late started but it was worth the wait!! <br />Best to book the tour at sunset! Super Pilot!","","0","","Written January 17, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ben Kebab","https://www.tripadvisor.com/Profile/benkebab","https://media-cdn.tripadvisor.com/media/photo-s/06/02/74/ea/benjamin-f.jpg","Paris, France","4","","A beautiful flight in the setting sun","The flight itself is really spectacular if the weather is with you. We enjoyed walking along the coast at sunset.<br />Things to improve: a nominative welcome. There you wait and at the last moment you fill out papers as if you were not registered.<br />Communication on board: you can barely hear what the pilot says, he makes no effort. Helmets are attached to the back of the seat limiting your movement.<br />The plane looks dilapidated","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/7c/86/f7/caption.jpg","Written January 4, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"hazinbint","https://www.tripadvisor.com/Profile/hazinbint","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg","Czech Republic","5","Nov 2024 • Family","Miami is most beautiful from the air","The scenic flight was shorter than scheduled, but we still managed to see all the sights we wanted. The aircraft was a bit older but got us there safely. The pilot was friendly and pleasant, making the sightseeing experience enjoyable. We will definitely return for another scenic flight","Family","0","","Written January 3, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Jose M","https://www.tripadvisor.com/Profile/josemF9890YI","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg","","5","Nov 2024 • Couples","Fantastic Tour","Me and my girlfriend had the best experience Ever!<br />The tour was very nice and the pilot was very professional and knowledgeable <br />Also, the prices unbeatable!!!<br />The best in the market 100% recommend!👏🏻","Couples","0","","Written November 25, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Daniel J","https://www.tripadvisor.com/Profile/J3108GXdanielj","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg","","5","Nov 2024 • Couples","Best Experience Ever!!","Best flight tour in Miami!! Great pilot and communication as well as the customer service super fast.<br />We really enjoyed and had a great time<br />Five Stars service⭐️⭐️⭐️⭐️⭐️Totally recommend it!!","Couples","0","","Written November 18, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Laurent C","https://www.tripadvisor.com/Profile/224laurentc","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/15/eb/4c/caption.jpg","Bourgoin Jallieu, France","5","","Amazing experience","A warm and kind welcome from the professional teams. <br />An outstanding pilot who knows how to reassure you with a ⭐⭐⭐‐‐ pilot. A well explained tour despite my basic English. A discovery of Miami and its surroundings amazing sky view. It was my first time in a small plane and, what a beautiful experience.  Thank you and bravo!!!","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/21/75/ac/caption.jpg","Written November 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Selim W","https://www.tripadvisor.com/Profile/752selimw","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","Miami, FL","5","Oct 2024 • Couples","Amazing Experience","Best Experience in my life! The pilot was very informative and polite. The prices are fair as well, Highly recommend for everyone.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/da/cd/f1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/da/cd/f0/caption.jpg","Written October 21, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Giulia","https://www.tripadvisor.com/Profile/giulialM6336ZB","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg","Rome, Italy","5","","Wonderful experience","My partner and I had this wonderful experience since we were on vacation in Miami, and it seemed like a nice idea to do a nice aerial tour. Once we entered the airport it was not easy to find the exact location, but asking for information around we succeeded. The pilot was very nice, he spoke both English and Spanish and throughout the flight he obviously also acted as a Guide. Recommendation this experience, seeing Miami from above was beautiful","","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/4d/bb/c5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/4d/bb/c4/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/4d/bb/c3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/4d/bb/c2/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/4d/bb/c1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/4d/bb/c0/caption.jpg","Written August 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Sandra A","https://www.tripadvisor.com/Profile/I7688IBsandraa","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg","","5","","It was a great, memorable experience","Thank you for your great customer service, I had an issue and I was satisfied with the outcome. I will definitely come back for this ride","","0","","Written June 11, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Shaun M","https://www.tripadvisor.com/Profile/T2157IGshaunm","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg","","5","May 2024 • Couples","Miami Beach Plane Tour","Great trip and great pilot. Very professional and informative but did not over do it on the talking. He kept the plane very calm and steady for the entire flight. We saw all of miami beach and took many awesome photos. Can't beat the price also. Would definitely recommend this tour to anyone visiting miami beach.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/2e/08/3f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/2e/08/3e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/2e/08/3d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/2e/08/3c/caption.jpg","Written May 15, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
