"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Shannon G","https://www.tripadvisor.com/Profile/shannongF2775AC","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","4","Feb 2025 • Family","Beautiful","The helicopter trip was amazing, and our pilot Ethan was great. But.... I had booked the Hana Rainforest trip (because I have done the other ones), and they didn't tell us till we were out on the Heli pad ready to go that they could not fly into the rainforest because of weather that had been there all day. Then they put you on the spot and say but we can take this other route if you want? My kids were so excited so I couldn't say no. It was very beautiful, and we saw whales which is amazing. I just wish they would have told us sooner.","Family","0","","Written February 20, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ashlee N","https://www.tripadvisor.com/Profile/164ashleen","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg","Clearfield, PA","5","","Honeymoon in Maui","This was the highlight of our trip in Maui! The view was breathtaking! We landed in the middle of the rainforest and got to have champagne and taste the fruit of the island! This was an unforgettable moment! My husband and I were on our honeymoon and this is a must do on your list! Evan our pilot was great!","","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/e9/15/13/caption.jpg","Written February 18, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Elizabeth G","https://www.tripadvisor.com/Profile/Q1512ZIelizabethg","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg","","1","Jun 2024 • Family","Horrible if you are short.","Horrible if you are short.  They put me on the back row.  All I could see was the clouds through the glass looking up.  On both sides all I could see was the back of taller peoples heads and to the front the back of the seats in front of me.  It was an awful big price for a view of clouds.","Family","0","","Written February 15, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Colleen Q","https://www.tripadvisor.com/Profile/colleenq580","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg","","5","Dec 2024 • Family","A must do when visiting Maui!","Once in a lifetime experience for our family! Thank you Nick our pilot for creating an epic flight to the Hana Rainforest during our Christmas vacation to Hawaii! It was breathtaking, informative and so fun for our boys and we felt incredibly safe the entire ride for their first helicopter experience over the ocean and rainforest! Highly highly recommend from the Maxwell Family! Mahalo!!","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/72/0f/70/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/72/01/e5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/72/01/e4/caption.jpg","Written December 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"John S","https://www.tripadvisor.com/Profile/F3148GIjohns","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg","","5","Nov 2024 • Couples","Brilliant tour of the Road to Hana with expert pilot","Captain Nick Taylor and everyone at Maverick Helicopters in Maui made this an experience of a life time. Captain Nick was a brilliant and very calm pilot, showing us everything Maui had to offer, he was so knowledgeable and we had a glass of champagne while eating wild fruits on landing in Hana. Would highly recommend, take it from us, and we hate heights…","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/31/22/fc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/31/22/fb/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/31/22/fa/caption.jpg","Written November 22, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ana S","https://www.tripadvisor.com/Profile/anasO3487WQ","","","5","Oct 2024 • Couples","I  don't even have the right words to describe this feeling and experience !!!   seriously one of the best things  i did","I  don't even have the right words to describe this feeling and experience !!!   seriously one of the best things  i did in Maui","Couples","0","","Written November 19, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Katy W","https://www.tripadvisor.com/Profile/14katyk","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg","Nashville, United States","5","Oct 2024 • Family","Hana Helicopter Experience","Ethan from Maverick Helicopters was an outstanding guide and pilot. The views were absolutely breathtaking, and we loved landing in the rainforest. We got to try the local guava and observe the beauty while drinking some champagne :) I would highly recommend to anyone looking to see Hana from above. It was stunning and worth the money!","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/e2/04/a7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/e2/04/a6/caption.jpg","Written October 24, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Becky D","https://www.tripadvisor.com/Profile/BSunderl","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","Springfield, IL","5","","Awesome way to see Hana","Had a great flight with Ethan. Very sceanic. Beautiful views of the waterfalls. Made me appreciate how hard the drive to Hana would have been. Landing was fun. Awesome photos in the rainforest with a huge Monkeypod tree.","","0","","Written July 5, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Big G S","https://www.tripadvisor.com/Profile/959galens","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg","","5","Jun 2024 • Couples","Amazing!","Of all the awesome things we did and saw in Maui, this by far was the best. The amazing views of the rainforest and incredible waterfalls was something words can’t explain. Our pilot, Jake, was not only knowledgeable of the island but was a fantastic pilot making us feel at ease - didn’t feel at all like we were going 120 mph. If you at all are questioning the cost, like we were, I can say you will have zero regrets.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2c/88/79/ec/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/88/79/eb/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/88/79/ea/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/88/79/e9/caption.jpg","Written June 10, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Andres F","https://www.tripadvisor.com/Profile/andresf192","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg","Santiago, Chile","5","Feb 2024 • Couples","Our experience with Maverick helicopters","Due to weather reasons we were unable to make the trip to Hana, but the Maverick team kindly rescheduled us the next day to take the tour to northern Maui and Molokini. The wonderful views, like from another time, the spectacular guide, everything fantastic, I recommend Maverick helicopters, they are an excellent company.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2b/8c/ce/bc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/8c/cd/d1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/8c/cc/f5/caption.jpg","Written March 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
