word,canonical_lemma,frequency_21215,english_translation,category_and_emotion
great,great,11541,非常棒的 / 极好的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
amazing,amazing,6251,极其震撼赞叹的 / 太棒了,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
beautiful,beautiful,3485,美丽绝伦的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
best,best,3420,最棒的 / 顶级的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
friendly,friendly,3416,友好的 / 亲切的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
worth,worth,2799,物有所值的 / 绝对值得的,1b. Directly Mapped to Polarity Only (72 Words)
wonderful,wonderful,2677,精彩美妙的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
good,good,2635,良好的 / 棒的（服务与体验）,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
awesome,awesome,2530,太棒了 / 极为赞叹的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
excellent,excellent,2284,卓越极佳的 / 顶级的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
fantastic,fantastic,2026,奇妙太棒的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
nice,nice,1794,美好的 / 良好的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
fun,fun,1729,乐趣十足的 / 充满乐趣的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
spectacular,spectacular,1616,壮观震撼的（高空景观）,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
incredible,incredible,1612,难以置信震撼的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
better,better,1585,更好的 / 更满意的（超过预期）,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
perfect,perfect,1474,完美的 / 无瑕的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
loved,loved,1473,喜爱 / 热爱（体验）,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
comfortable,comfortable,1446,舒适的 / 安心的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
breathtaking,breathtaking,1346,令人屏息震撼的,2b. Class 3 Low-Altitude Domain Lexicon (17 Words)
helpful,helpful,1157,热心有帮助的 / 周到解说,1a. Directly Mapped to NRC 8-Emotions (286 Words)
glad,glad,897,感到高兴放心的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
interesting,interesting,886,引人入胜的 / 趣味盎然的,1b. Directly Mapped to Polarity Only (72 Words)
cool,cool,652,酷的 / 爽快的,2a. Class 2 Web 2.0 Colloquial Superlatives (128 Words)
special,special,631,特别的 / 珍贵的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
lucky,lucky,607,感到幸运的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
kind,kind,587,亲切的 / 友善的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
memorable,memorable,580,令人终生难忘的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
happy,happy,555,高兴的 / 快乐的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
stunning,stunning,552,令人目眩震撼的,2b. Class 3 Low-Altitude Domain Lexicon (17 Words)
nervous,nervous,513,紧张的 / 焦虑不安的,1a. Directly Mapped to NRC 8-Emotions (286 Words)
