"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Carla R","https://www.tripadvisor.com/Profile/T343HKcarlar","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg","","5","","Outstanding!","The customer service and kindness of Meredith was outstanding!  She worked with us on the timing and also the safety of the trip, based on the weather which seems to change by the hour. She truly was outstanding!!!  <br /><br />Jason was our pilot, and he shared his knowledge and also allowed us the quiet to simply take in the beauty of the mountains. It’s such a different point of view from that vantage point. The take off, flight, and landing were all so smooth. The windows of the plane were crystal clear to allow excellent views and opportunities for pictures. He too was outstanding!  <br /><br />These folks are a small local company and know how to do it right. Many thanks!","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/40/79/21/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/40/79/20/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/40/79/1f/caption.jpg","Written August 24, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Michael W","https://www.tripadvisor.com/Profile/michaelwA4482UB","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","","5","Jul 2024 • Couples","Unforgettable Experience with an Exceptional Pilot","We had an incredible experience with Alaska Float Plane Company! Our pilot, Jason, was absolutely fantastic. He was knowledgeable, helpful, and clearly passionate about what he does. The tour he gave us was nothing short of amazing. Jason pointed out key landmarks, shared fascinating insights, and made sure we were comfortable throughout the flight. The views were breathtaking, and Jason’s expert piloting made the whole experience unforgettable. I highly recommend Alaska Float Plane Company and would definitely fly with them again!","Couples","0","","Written August 1, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Joe M","https://www.tripadvisor.com/Profile/C784PDjoem","https://media-cdn.tripadvisor.com/media/photo-o/03/aa/81/e3/livedreams.jpg","Vernal, UT","3","Jul 2024 • Friends","Meh","The outfit was really laid-back, which was nice. They accommodated our schedule and shifted us around a couple times. It worked out. The pilot was nice, but not super-informative. Seemed like a new business. This was a wildlife viewing tour, but honestly, it’s really hard to see animals that far away at those speeds. Also, the pilot didn’t seem to know much about the patterns or movement of animals, although he had several trips before us. I would think he would have a better idea of where they are to spot them.<br />Beautiful views of the Talkeetna mountains and it was clear enough to see the Denali.","Friends","0","","Written July 24, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Linda D","https://www.tripadvisor.com/Profile/V1856MMlindad","https://media-cdn.tripadvisor.com/media/photo-o/16/0c/2f/cf/caption.jpg","Plano, TX","5","Jun 2024 • Friends","Great float plane trip","We had a beautiful day to fly out to Caribou Lodge.  Jason and his staff were great.  i recommend both Alaska Air and a visit to Caribou Lodge.","Friends","0","","Written June 24, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Anne3411","https://www.tripadvisor.com/Profile/Anne3411","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","Illinois","5","Jun 2024 • Couples","Amazing trip!!","Our one hour float plane trip to Denali was an amazing experience. Jason, our pilot did an amazing job as the clouds broke to get us the best views. Wonderful trip!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2c/93/9f/7a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/93/9f/79/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/93/9f/78/caption.jpg","Written June 15, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"RK L","https://www.tripadvisor.com/Profile/rkl2015","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg","","5","May 2024 • Family","Worth it!","We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it. Incredible views of Denali and other peaks. I’ve done lots of things over the years and don’t know how this one could be topped.","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2c/64/9f/7f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/64/9f/7e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/64/9f/7d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/64/9f/7c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/64/9f/7b/caption.jpg","Written May 25, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Maureen C","https://www.tripadvisor.com/Profile/V5382BSmaureenc","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg","Bristol, CT","4","","Wonderful customer service despite the disappointing weather","Our family booked the 30 minute seaplane adventure as part of our cruisetour.  Due to rainy weather, we were not able to take the tour but I wanted to acknowledge the wonderful customer service provided.  The company reached out the day before to let us know the weather did not look good for our flight but they would keep us informed.  We had booked a morning flight.  They contacted us in the morning to confirm we would have to cancel but offered to postpone to another day.  Unfortunately we were leaving the next day to go to Denali so they offered to wait until afternoon and see if the weather cleared.  We were contacted again at noon time and weather was still not cooperating so they had to cancel.  Our payment was refunded in full with no headaches.  Although we obviously would have preferred to be able to take the seaplane flight, weather is the determining factor on adventures like these.  I was so grateful for the wonderful customer service.  I felt the company cared and really tried to find a way for us to enjoy our excursion.  <br />For anyone planning an Alaskan adventure, feel comfortable booking with this company knowing they try there best to fulfill their commitment and when they are not able to, you will be refunded quickly and without any hassles.","","0","","Written August 23, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Michelle M","https://www.tripadvisor.com/Profile/michellemS2276DH","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg","Sudbury, MA","5","Aug 2023 • Family","Fabulous flight & hike/lunch","Jason, the pilot, was fabulous.  Super smooth flight, & the glacier views were unbelievable.  The guided hike was wonderful.  We spotted a black bear.  Lunch was delicious!","Family","0","","Written August 7, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"BluebirdBench","https://www.tripadvisor.com/Profile/BluebirdBench","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg","","4","Jul 2023","Awesome Hike but NOT at Denali National Park","This is a bit of a mixed experience for us.  The floatplane ride to Caribou lodge was wonderful - the guided hike from Caribou Lodge at Boomerang Lake was really awesome - Zack showed us amazing tundra plant life - his family at Caribou lodge opened our eyes with their lifestyle and their hospitality.  So full points to them for our delightful hiking experience.  But due to cloudy conditions  the flight service to view Denali National Park from the air was canceled (the float plane service reimbursed us very promptly for the missed portion of the trip).  Here's my issue - the blurb states ""Experience Denali National Park from the air and at ground level""  The clouds made us miss the ""from the air portion"" and we accept with gratitude what Mother Nature grants us, but there was *never* a chance of experiencing Denali NP ""at ground level.""  So by following this ad, we missed out on visiting Denali National Park on a once in a lifetime trip to Alaska, and that was disappointing indeed.  The ad needs to be clear that there is NEVER a chance to experience Denali National Park *at ground level* with this service. If the weather permits, you see DNP from the air, but you never get to DNP at ground level, no matter what.","","0","https://media-cdn.tripadvisor.com/media/photo-w/29/bd/8e/a6/guided-hike-from-caribou.jpg","Written July 15, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Frenchgirl","https://www.tripadvisor.com/Profile/649maryannl","https://media-cdn.tripadvisor.com/media/photo-o/06/fb/83/78/maryann-l.jpg","Swanzey, NH","4","Jun 2023","Solid pilot under difficult conditions","We used Alaska Bush to get to a remote camp. When we were due to leave, the area was under heavy fog and unflyable. The pilot went out of his way to stay on alert in case a small window cleared (which it finally did), and was able to get us out with only a few hours' delay. Solid bush pilot -- definitely recommend.","","0","","Written June 28, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
