"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Kyle K","https://www.tripadvisor.com/Profile/kylekR3323HJ","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","5","Oct 2024 • Friends","The greatest float plane trip in Seattle","What an awesome Company and such memorable adventure.   You must do this if ever in Seattle!   A Must!   Thank you Shane and Michelle for such a great trip.   You can bet I'll do this again.   <br />Kyle/Betsy","Friends","0","","Written October 6, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"lorihockenberry","https://www.tripadvisor.com/Profile/lorihockenberry","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg","Paulding, OH","5","Oct 2024 • Family","Unforgettable views, Orcas, San Juan Island","It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw 3-4 Orcas. The cascade mountain range and the Olympic mountain range were beautiful against the blue sky! Captain was great explaining different sites and pointing out lighthouses below. On our way back flew near Washington stadium where a game was going to be played later. An unforgettable experience.","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/b7/8c/49/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/b7/8c/48/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/b7/8c/47/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/b7/8c/46/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/b7/8c/45/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b7/8c/44/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/b7/8c/43/caption.jpg","Written October 6, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Dave","https://www.tripadvisor.com/Profile/FrequentFlier519673","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg","","5","Sep 2024 • Couples","Great Way to See the Sights!","Really enjoyed our seaplane tour on a beautiful September day! The pilot was very informative, and did a great job showing us the sights along the way.<br /><br />Would definitely recommend as a great way to see the Puget Sound, Salish Sea, and San Juan Islands!","Couples","0","","Written September 15, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"TVLHELP","https://www.tripadvisor.com/Profile/TVLHELP","https://media-cdn.tripadvisor.com/media/photo-f/01/2e/70/5c/avatar034.jpg","CT","5","Aug 2024 • Friends","Great quick tour of SJI","We took the 25 minute flight out of Friday Harbor around the San Juan Islands. The DH Beaver aircraft was very cool, and the flight was comfortable and fun. Jenna was a great pilot and also a great tour guide. We even got to take Rudy along for the ride. I would highly recommend this tour.","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/48/5a/a0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/48/5a/9f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/48/5a/9e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/48/5a/9d/caption.jpg","Written August 27, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"G S","https://www.tripadvisor.com/Profile/O8719TWgs","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","","5","Aug 2024 • Family","One of the best Premium Eco offers","Flyn from Fra to Seattle on 25.08.24. Flight was in Premium Eco. Flight was on time, plane top clean, space also suitable for very tall people. The service was very good. All in all a 10 out of 10!","Family","0","","Written August 27, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Susan C","https://www.tripadvisor.com/Profile/susancT1858VJ","https://media-cdn.tripadvisor.com/media/photo-s/08/73/9e/44/susan-c.jpg","","5","Aug 2024 • Couples","First time in a sea plane and seeing the San Juan islands","It was a pleasure to fly in the De Havilland  Beaver sea plane and see the Seattle areas and San Juan islands for the first time.  Our pilot, Fields, gave us a great experience.  We enjoyed walking around Roche harbor.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/3d/9a/f7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3d/9a/f6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3d/9a/f5/caption.jpg","Written August 23, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Brittany G","https://www.tripadvisor.com/Profile/761brittanyg","https://media-cdn.tripadvisor.com/media/photo-s/0f/0d/d7/2f/brittany-g.jpg","","5","Aug 2024 • Friends","Gorgeous flight, easy to book","Our flight was incredible! We did a 25 minute sightseeing tour from Friday Harbor. The team was able to accommodate us for a same day booking. The booking process was easy, and the directions were clear and simple to follow. The walk from the ferry port was quick and beautiful. Parker was an awesome pilot, and answered all of our questions as we explored the gorgeous area.<br /><br />We will definitely be back with our kiddos so that they can enjoy this experience too!","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/33/44/df/caption.jpg","Written August 19, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Julie H","https://www.tripadvisor.com/Profile/JuliekinsH","","Yorba Linda, California, United States","5","Jul 2024 • Friends","Amazing experience!","I just wanted to say thank you for an amazing experience!! Our Delta airline flights were delayed by 8 hours and the first day of our trip to Friday Harbor was not what we had expected. We got stuck in Seattle and missed our original transportation by car and ferry but Friday Harbor Seaplanes came to our rescue. Michelle was absolutely amazing and got us booked on the first flight out the following morning so we didn’t waste another moment of our trip. She arranged a shuttle to pick us up at the hotel we booked which was also quite the task as many hotels were completely booked up but we finally found one and Friday Harbor Seaplanes accommodated us and got us to the airport and flew us in to Orcas Island. I was really impressed by our pilot and how well he flew the plane. I was a bit nervous and I tend to get motion sickness and he made the flight very enjoyable and even checked in with me during the flight to see how I was feeling. I felt he took slight turns a bit more slow and careful with me in mind and it was very appreciated. My friend also had her baggage delayed by Delta Airlines for 2 days and Michelle was so kind to try and help us by arranging for the airport to deliver the luggage to them so they could bring it to the Friday Harbor dock on one of their daily flights. Unfortunately Delta was being lame and they wouldn’t do it, but the fact that Friday Harbor Seaplanes was willing to help us went above and beyond our expectations. What amazing customer service! I hope to one day visit the islands again and without a doubt I will use Friday Harbor Seaplanes again. They treated us like family!! Thank you! I wholeheartedly recommend this business. They are all great people and do an excellent job!","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/0b/f7/ab/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/0b/f7/aa/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/0b/f7/a9/caption.jpg","Written August 4, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Susan A","https://www.tripadvisor.com/Profile/903susana","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg","Reston, VA","1","Jul 2024 • Family","Terrible company cancelled with no notice","The seaplane company called the night before and cancelled the trip for my son and me. They said they were overbooked but we had booked weeks before. Also i asked why they had left it until the night before to call surely they knew they were overbooked long before. My son and i had only 1 day in Seattle and were extremely disappointed. We are still waiting on our $700 refund from Tripadvisor . This is a terrible way to treat people.","Family","0","","Written August 2, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Sophia H","https://www.tripadvisor.com/Profile/975sophiah","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","5","","First Seaplane ride","Beautiful afternoon flight on a gorgeous day in Seattle. Excellent pilot. Amazing views of Seattle, northwest coastline, eastern mountain range, Olympic Mountains and San Juan Islands.<br />Brief stop at Friday Harbor for 45 mins to walk around town.","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c4/16/a8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c4/16/a7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c4/16/a6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/c4/16/a5/caption.jpg","Written July 6, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
