"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Torie O","https://www.tripadvisor.com/Profile/torieo2025","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg","","5","","Awesome experience ","Had a great experience!  Highly recommend if you want to fly over the grand canyon. The audio was easy to listen to and informative ","","0","","Written February 21, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Brenda B","https://www.tripadvisor.com/Profile/bbtraveler9398","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","Novelty, OH","5","Feb 2025 • Family","Spectacular views","The perspective of the Grand Canyon you get from flying over it is incredible.  <br /><br />I've never flown in a helicopter, but I chose the small plane over the helicopter because helicopters seem so loud.  I'm glad I did.","Family","0","","Written February 16, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Paola B","https://www.tripadvisor.com/Profile/A7650HYpaolab","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","","5","Nov 2024 • Family","Highly recommended","Amazing! The views, the tour, the staff, everything was amazing. I recommend this company to take the airplane tour! Thank you","Family","0","","Written November 25, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"cbkworm","https://www.tripadvisor.com/Profile/cbkworm","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","Santa Ana, California","5","Nov 2024 • Family","High Flying experience","Treated courteously throughout the process of booking & flying. Ian was a great pilot & Sally couldn’t have been more polite. Thank you.","Family","0","","Written November 22, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Vicky L","https://www.tripadvisor.com/Profile/918vjl","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg","","5","Nov 2024 • Family","Great way to see the scale of the Grand Canyon","Thoroughly enjoyable. Professional and pleasant. Took loads of photos and got great views, was able to properly appreciate the scale of the Grand Canyon","Family","0","","Written November 10, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Chicco14","https://www.tripadvisor.com/Profile/chicco14","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","Rome, Italy","5","","Spectacular is nothing short of!","Forty minutes flying over the Grand Canyon is an endless time to enjoy the fantastic natural beauty of this unique site, formed by weather erosion in recent times and oceans millions of years ago, when the site itself was completely submerged.<br />By plane, better than by helicopter, you can enjoy an uncompromising view of the soil below, the meanders of the Colorado River, the plateaus overlooking it, the animals walking in the numerous gorges and woods. Absolutely not to be missed this experience!","","0","","Written November 8, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Joerg B","https://www.tripadvisor.com/Profile/joergb183","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg","","5","Oct 2024 • Solo","Like an Eagle to Eagle Point","Really enjoyed the trip with Scenic Airline to Grand Canyon West and Skywalk. Marvelous view from above on Hoover Dam and the desert. Flying with their Twin-Otter 19-seater is like in the good old days - personal greetings from the captain and then straight out to the aircraft. If passengers assemble earlier, the flight goes earlier. All electronics are allowed because “the plane is older than any of your electronic devices” <br /> I recommend taking on of the later timed tours because the the sun is in your back (creating a fabulously colorful scenery and not blending you)","Solo","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/d8/77/e9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/d8/77/e8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/d8/77/e7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/d8/77/e6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/d8/77/e5/caption.jpg","Written October 20, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Bob G","https://www.tripadvisor.com/Profile/Mobile360036","","Chula Vista, CA","5","Oct 2024 • Friends","Satisfied from the word go!","Loved it!   Once we walked in, everyone was professional and polite.  I would highly suggest this company to all my friends!","Friends","0","","Written October 19, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ariella S","https://www.tripadvisor.com/Profile/Ariella_zen","","Birmenstorf, Switzerland","5","Oct 2024 • Couples","Best airplane ride with fantastic views!","The airplane tour was fantastic and the pilots super fun and friendly! We had a great time and awesome views! It was totally worth it! The little plane is less expensive than the helicopter and just can’t go as low but the ride is longer and views of the canyon just as stunning!","Couples","0","","Written October 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Pedzinski","https://www.tripadvisor.com/Profile/Pedzinski","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg","La Porte, IN","5","Oct 2024 • Couples","Amazing Views","It was a great experience to see the Grand Canyon from the air, once in a lifetime experience.  The plane was a small 19 seater with panoramic window views.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/ca/7a/d7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/ca/7a/d6/caption.jpg","Written October 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
